"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"36","2021-10-19","02:21:29","8h:28m","YC5NHD","-8","FT8","20m","14.0743","Indonesia","YB","OJ00MI","3585"
"58","2021-10-18","14:48:30","20h:01m","BG8GAM","-9","FT8","20m","14.0743","China","BY","OL39GM75VO","3517"
"11","2021-10-19","10:29:30","20min","9M2CNC","-3","FT8","20m","14.0742","West Malaysia","9M2","OJ03TB","3471"
"149","2021-10-18","13:09:30","21h:40m","BD7LMD-1","-11","FT8","20m","14.0742","China","BY","OL63","3430"
"2","2021-10-19","10:47:29","2min","BH8CRG","-17","FT8","20m","14.0742","China","BY","OL29JH","3347"
"35","2021-10-19","02:24:30","8h:25m","BI8DHZ","-18","FT8","20m","14.0743","China","BY","OM10XQ","3310"
"205","2021-10-18","12:12:30","22h:37m","BH8MDV","-12","FT8","20m","14.0743","China","BY","OL26DU","3241"
"39","2021-10-18","15:21:33","19h:28m","YB6MIX","-18","FT8","20m","14.0743","Indonesia","YB","NJ93HO","3157"
"15","2021-10-19","10:25:26","24min","HS2KYA","-4","FT8","20m","14.0742","Thailand","HS","OK12BM","3090"
"126","2021-10-18","13:41:30","21h:08m","YB6DE","-15","FT8","20m","14.0742","Indonesia","YB","NJ84XM","3040"
"89","2021-10-18","14:24:28","20h:25m","E21TMW","-9","FT8","20m","14.0742","Thailand","HS","OK02SQ","3024"
"208","2021-10-18","12:09:27","22h:40m","HS2SXE","-20","FT8","20m","14.0742","Thailand","HS","OK02OS","2987"
"183","2021-10-18","12:42:29","22h:07m","HZ1BW","-11","FT8","20m","14.0742","Saudi Arabia","HZ","LL34DL","2936"
"5","2021-10-19","10:39:15","11min","HS/F8UKP","-12","FT8","20m","14.0742","Thailand","HS","OK03GR","2889"
"38","2021-10-18","15:22:27","19h:27m","HSØACS","-13","FT8","20m","14.0744","Thailand","HS","OK03FU","2877"
"235","2021-10-18","11:02:29","23h:47m","HS5YLK","-23","FT8","20m","14.0742","Thailand","HS","NK99WV","2726"
"234","2021-10-18","11:08:26","23h:41m","HSØZEE","-1","FT8","20m","14.0742","Thailand","HS","NK98MV10","2643"
"30","2021-10-19","02:46:29","8h:03m","UK8AF","-12","FT8","20m","14.0743","Uzbekistan","UK","MN41OG62","2573"
"181","2021-10-18","12:43:30","22h:06m","A45XO","-10","FT8","20m","14.0743","Oman","A4","LL83GG","1885"
"32","2021-10-19","02:40:26","8h:09m","VU2MB","-","FT8","20m","14.0743","India","VU","ML88SM","1171"
"23","2021-10-19","05:45:29","5h:04m","VU2DCC","-3","FT8","20m","14.0743","India","VU","MK80EC","972"
"211","2021-10-18","12:05:27","22h:44m","VU2JAA","-5","FT8","20m","14.0742","India","VU","MK80IS","912"
"87","2021-10-18","14:25:29","20h:24m","VU3UZD","-11","FT8","20m","14.0743","India","VU","MK82UX","736"
"12","2021-10-19","10:29:15","21min","VU2PTT","-","FT8","20m","14.0743","India","VU","MK82TX82","731"
"34","2021-10-19","02:28:29","8h:21m","VU2AE","-2","FT8","20m","14.0743","India","VU","MK82SX","726"
"4","2021-10-19","10:46:26","3min","VU3CER","26","FT8","20m","14.0742","India","VU","MK68XM","0"
